Age,Sex,Participant,CasualtyType,2011,2012
0 - 5 ,M,Pedestrians,Injured,39,40
0 - 5 ,M,Pedestrians,Killed,0,0
0 - 5 ,M,Pedal cyclists,Injured,3,1
0 - 5 ,M,Pedal cyclists,Killed,1,0
0 - 5 ,M,Motor cyclists,Injured,0,0
0 - 5 ,M,Motor cyclists,Killed,0,0
0 - 5 ,M,Car drivers,Injured,0,0
0 - 5 ,M,Car drivers,Killed,0,83
0 - 5 ,M,Car passengers,Injured,54,83
0 - 5 ,M,Car passengers,Killed,1,0
0 - 5 ,M,Other road users,Injured,2,2
0 - 5 ,M,Other road users,Killed,0,0
0 - 5 ,F,Pedestrians,Injured,24,29
0 - 5 ,F,Pedestrians,Killed,0,2
0 - 5 ,F,Pedal cyclists,Injured,0,1
0 - 5 ,F,Pedal cyclists,Killed,0,0
0 - 5 ,F,Motor cyclists,Injured,0,0
0 - 5 ,F,Motor cyclists,Killed,0,0
0 - 5 ,F,Car drivers,Injured,0,0
0 - 5 ,F,Car drivers,Killed,0,0
0 - 5 ,F,Car passengers,Injured,69,56
0 - 5 ,F,Car passengers,Killed,0,0
0 - 5 ,F,Other road users,Injured,0,2
0 - 5 ,F,Other road users,Killed,0,0
06-Sep,M,Pedestrians,Injured,45,41
06-Sep,M,Pedestrians,Killed,1,1
06-Sep,M,Pedal cyclists,Injured,18,12
06-Sep,M,Pedal cyclists,Killed,1,0
06-Sep,M,Motor cyclists,Injured,0,0
06-Sep,M,Motor cyclists,Killed,0,0
06-Sep,M,Car drivers,Injured,0,0
06-Sep,M,Car drivers,Killed,0,0
06-Sep,M,Car passengers,Injured,40,54
06-Sep,M,Car passengers,Killed,0,0
06-Sep,M,Other road users,Injured,8,2
06-Sep,M,Other road users,Killed,0,0
06-Sep,F,Pedestrians,Injured,23,20
06-Sep,F,Pedestrians,Killed,0,0
06-Sep,F,Pedal cyclists,Injured,2,2
06-Sep,F,Pedal cyclists,Killed,0,0
06-Sep,F,Motor cyclists,Injured,0,0
06-Sep,F,Motor cyclists,Killed,0,0
06-Sep,F,Car drivers,Injured,0,0
06-Sep,F,Car drivers,Killed,0,0
06-Sep,F,Car passengers,Injured,49,48
06-Sep,F,Car passengers,Killed,0,0
06-Sep,F,Other road users,Injured,0,0
06-Sep,F,Other road users,Killed,0,0
Oct-14,M,Pedestrians,Injured,51,54
Oct-14,M,Pedestrians,Killed,1,0
Oct-14,M,Pedal cyclists,Injured,25,31
Oct-14,M,Pedal cyclists,Killed,0,0
Oct-14,M,Motor cyclists,Injured,2,1
Oct-14,M,Motor cyclists,Killed,0,0
Oct-14,M,Car drivers,Injured,0,0
Oct-14,M,Car drivers,Killed,0,0
Oct-14,M,Car passengers,Injured,54,62
Oct-14,M,Car passengers,Killed,0,0
Oct-14,M,Other road users,Injured,17,8
Oct-14,M,Other road users,Killed,0,0
Oct-14,F,Pedestrians,Injured,43,52
Oct-14,F,Pedestrians,Killed,1,0
Oct-14,F,Pedal cyclists,Injured,2,6
Oct-14,F,Pedal cyclists,Killed,0,0
Oct-14,F,Motor cyclists,Injured,0,0
Oct-14,F,Motor cyclists,Killed,0,0
Oct-14,F,Car drivers,Injured,0,0
Oct-14,F,Car drivers,Killed,0,0
Oct-14,F,Car passengers,Injured,52,67
Oct-14,F,Car passengers,Killed,1,0
Oct-14,F,Other road users,Injured,1,1
Oct-14,F,Other road users,Killed,0,0
15 - 17 ,M,Pedestrians,Injured,20,37
15 - 17 ,M,Pedestrians,Killed,0,1
15 - 17 ,M,Pedal cyclists,Injured,14,26
15 - 17 ,M,Pedal cyclists,Killed,0,0
15 - 17 ,M,Motor cyclists,Injured,6,8
15 - 17 ,M,Motor cyclists,Killed,0,0
15 - 17 ,M,Car drivers,Injured,33,26
15 - 17 ,M,Car drivers,Killed,3,2
15 - 17 ,M,Car passengers,Injured,79,94
15 - 17 ,M,Car passengers,Killed,1,4
15 - 17 ,M,Other road users,Injured,27,13
15 - 17 ,M,Other road users,Killed,2,0
15 - 17 ,F,Pedestrians,Injured,23,24
15 - 17 ,F,Pedestrians,Killed,1,0
15 - 17 ,F,Pedal cyclists,Injured,2,4
15 - 17 ,F,Pedal cyclists,Killed,0,0
15 - 17 ,F,Motor cyclists,Injured,1,0
15 - 17 ,F,Motor cyclists,Killed,0,0
15 - 17 ,F,Car drivers,Injured,13,16
15 - 17 ,F,Car drivers,Killed,0,0
15 - 17 ,F,Car passengers,Injured,67,96
15 - 17 ,F,Car passengers,Killed,2,0
15 - 17 ,F,Other road users,Injured,3,5
15 - 17 ,F,Other road users,Killed,1,0
18 - 20 ,M,Pedestrians,Injured,42,40
18 - 20 ,M,Pedestrians,Killed,3,0
18 - 20 ,M,Pedal cyclists,Injured,13,22
18 - 20 ,M,Pedal cyclists,Killed,1,0
18 - 20 ,M,Motor cyclists,Injured,17,9
18 - 20 ,M,Motor cyclists,Killed,0,2
18 - 20 ,M,Car drivers,Injured,145,157
18 - 20 ,M,Car drivers,Killed,7,4
18 - 20 ,M,Car passengers,Injured,143,155
18 - 20 ,M,Car passengers,Killed,4,2
18 - 20 ,M,Other road users,Injured,48,35
18 - 20 ,M,Other road users,Killed,1,2
18 - 20 ,F,Pedestrians,Injured,22,29
18 - 20 ,F,Pedestrians,Killed,0,0
18 - 20 ,F,Pedal cyclists,Injured,6,9
18 - 20 ,F,Pedal cyclists,Killed,0,0
18 - 20 ,F,Motor cyclists,Injured,2,1
18 - 20 ,F,Motor cyclists,Killed,0,0
18 - 20 ,F,Car drivers,Injured,104,97
18 - 20 ,F,Car drivers,Killed,4,2
18 - 20 ,F,Car passengers,Injured,1280,117
18 - 20 ,F,Car passengers,Killed,1,0
18 - 20 ,F,Other road users,Injured,9,16
18 - 20 ,F,Other road users,Killed,1,0
21 - 24 ,M,Pedestrians,Injured,43,56
21 - 24 ,M,Pedestrians,Killed,2,0
21 - 24 ,M,Pedal cyclists,Injured,22,31
21 - 24 ,M,Pedal cyclists,Killed,2,0
21 - 24 ,M,Motor cyclists,Injured,28,29
21 - 24 ,M,Motor cyclists,Killed,0,0
21 - 24 ,M,Car drivers,Injured,179,189
21 - 24 ,M,Car drivers,Killed,7,10
21 - 24 ,M,Car passengers,Injured,141,172
21 - 24 ,M,Car passengers,Killed,1,7
21 - 24 ,M,Other road users,Inured,46,48
21 - 24 ,M,Other road users,Killed,2,1
21 - 24 ,F,Pedestrians,Injured,17,22
21 - 24 ,F,Pedestrians,Killed,0,0
21 - 24 ,F,Pedal cyclists,Injured,11,9
21 - 24 ,F,Pedal cyclists,Killed,0,0
21 - 24 ,F,Motor cyclists,Injured,4,3
21 - 24 ,F,Motor cyclists,Killed,0,0
21 - 24 ,F,Car drivers,Injured,177,148
21 - 24 ,F,Car drivers,Killed,2,3
21 - 24 ,F,Car passengers,Injured,126,95
21 - 24 ,F,Car passengers,Killed,0,1
21 - 24 ,F,Other road users,Injured,16,9
21 - 24 ,F,Other road users,Killed,1,1
25 - 34 ,M,Pedestrians,Injured,99,79
25 - 34 ,M,Pedestrians,Killed,7,3
25 - 34 ,M,Pedal cyclists,Injured,61,101
25 - 34 ,M,Pedal cyclists,Killed,1,0
25 - 34 ,M,Motor cyclists,Injured,87,77
25 - 34 ,M,Motor cyclists,Killed,8,8
25 - 34 ,M,Car drivers,Injured,379,377
25 - 34 ,M,Car drivers,Killed,8,8
25 - 34 ,M,Car passengers,Injured,188,199
25 - 34 ,M,Car passengers,Killed,6,1
25 - 34 ,M,Other road users,Injured,137,105
25 - 34 ,M,Other road users,Killed,5,3
